LFQ intensity a1	LFQ intensity a2	LFQ intensity a3	LFQ intensity a4	LFQ intensity b1	LFQ intensity b2	LFQ intensity b3	LFQ intensity b4	LFQ intensity c1	LFQ intensity c2	LFQ intensity c3	LFQ intensity c4	LFQ intensity d1	LFQ intensity d2	LFQ intensity d3	LFQ intensity d4	LFQ intensity e1	LFQ intensity e2	LFQ intensity e3	LFQ intensity e4	Student's T-test Significant b_a	Student's T-test Significant c_a	Student's T-test Significant d_a	Student's T-test Significant e_a	Student's T-test Significant c_b	Student's T-test Significant d_b	Student's T-test Significant e_b	Student's T-test Significant d_c	Student's T-test Significant e_c	Student's T-test Significant e_d	Student's T-test significant	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Q-value	Score	Intensity	MS/MS count	Student's T-test p-value b_a	Student's T-test q-value b_a	Student's T-test Difference b_a	Student's T-test Test statistic b_a	Student's T-test p-value c_a	Student's T-test q-value c_a	Student's T-test Difference c_a	Student's T-test Test statistic c_a	Student's T-test p-value d_a	Student's T-test q-value d_a	Student's T-test Difference d_a	Student's T-test Test statistic d_a	Student's T-test p-value e_a	Student's T-test q-value e_a	Student's T-test Difference e_a	Student's T-test Test statistic e_a	Student's T-test p-value c_b	Student's T-test q-value c_b	Student's T-test Difference c_b	Student's T-test Test statistic c_b	Student's T-test p-value d_b	Student's T-test q-value d_b	Student's T-test Difference d_b	Student's T-test Test statistic d_b	Student's T-test p-value e_b	Student's T-test q-value e_b	Student's T-test Difference e_b	Student's T-test Test statistic e_b	Student's T-test p-value d_c	Student's T-test q-value d_c	Student's T-test Difference d_c	Student's T-test Test statistic d_c	Student's T-test p-value e_c	Student's T-test q-value e_c	Student's T-test Difference e_c	Student's T-test Test statistic e_c	Student's T-test p-value e_d	Student's T-test q-value e_d	Student's T-test Difference e_d	Student's T-test Test statistic e_d	Protein IDs	Majority protein IDs	Protein names	Gene names
24.10246	NaN	NaN	NaN	NaN	NaN	NaN	24.09628	NaN	23.88446	NaN	NaN	NaN	23.92134	23.61144	NaN	24.00727	NaN	NaN	24.1059												3	3	3	13.7	13.7	13.7	31.135	0	6.664	289010000	31	1	1	-0.0061798095703125	0	1	1	-0.217994689941406	0	1	1	-0.336062431335449	0	1	1	-0.0458707809448242	0	1	1	-0.211814880371094	0	1	1	-0.329882621765137	0	1	1	-0.0396909713745117	0	1	1	-0.118067741394043	0	1	1	0.172123908996582	0	0.216252114762246	0.513636048526863	0.290191650390625	1.78461468519957	A5PLL7	A5PLL7	Transmembrane protein 189	TMEM189
27.435	27.61933	27.27906	27.51435	27.57564	27.42462	27.36294	27.49114	27.45623	27.5142	27.33654	27.35246	27.44316	27.33552	27.25205	27.22913	27.44008	27.3919	27.31441	27.30008												25	25	25	12.4	12.4	12.4	266.94	0	57.109	3795300000	224	0.985117880509477	0.99689205834684	0.00165224075317383	0.0194433486197209	0.592523497167706	0.648561374795417	-0.0470776557922363	-0.56504910518755	0.140380583098841	0.141480519480519	-0.146968841552734	-1.698238574691	0.250845503509656	0.172939666238768	-0.10031795501709	-1.27080166475191	0.463827953953639	0.709366315789474	-0.0487298965454102	-0.782218898023554	0.0669672143443627	0.16912925170068	-0.148621082305908	-2.23323522827252	0.120137890901836	0.13739670468948	-0.101970195770264	-1.81082338938414	0.171943503391515	0.562729142857143	-0.099891185760498	-1.55074215207312	0.360352527197533	0.472777142857143	-0.0532402992248535	-0.990111680286952	0.456650440384023	0.714938906752412	0.0466508865356445	0.795463647146948	A5YKK6	A5YKK6	CCR4-NOT transcription complex subunit 1	CNOT1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	24.0945												1	1	1	11.2	11.2	11.2	14.688	0.00024795	3.5998	320760000	11	1.0000001	1	0	0	1.0000001	1	0	0	1.0000001	1	0	0	1	1	NaN	0	1.0000001	1	0	0	1.0000001	1	0	0	1	1	NaN	0	1.0000001	1	0	0	1	1	NaN	0	1	1	NaN	0	Q9GZQ8;A6NCE7	Q9GZQ8;A6NCE7	Microtubule-associated proteins 1A/1B light chain 3B;Microtubule-associated proteins 1A/1B light chain 3 beta 2	MAP1LC3B;MAP1LC3B2
25.94221	26.29448	26.20844	26.16526	26.37657	26.1323	26.14067	26.07808	26.28429	26.16844	26.21777	26.06694	26.25041	26.02496	26.0074	26.26085	26.06585	26.26848	26.07357	25.92705												4	4	4	19	19	19	34.006	0	13.822	1630400000	63	0.779790163839485	0.881388656261896	0.0293064117431641	0.292452697056719	0.73036188629905	0.754405325443787	0.031761646270752	0.361151757076127	0.87555831160637	0.854836437521165	-0.0166926383972168	-0.163413385161288	0.52781402928986	0.429620779220779	-0.0688595771789551	-0.669954517988201	0.976689653753125	0.990262535931013	0.00245523452758789	0.0304580018112676	0.648480032891505	0.714694587119715	-0.0459990501403809	-0.479619470590913	0.348653684489938	0.339915455746367	-0.0981659889221191	-1.01641105350737	0.58067863248647	0.86836291913215	-0.0484542846679688	-0.583711648575926	0.275041948020909	0.386349390597795	-0.100621223449707	-1.2009024887007	0.615721183954718	0.80317139119058	-0.0521669387817383	-0.529113329364119	A6NDG6	A6NDG6	Phosphoglycolate phosphatase	PGP
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	22.08151												1	1	1	3.1	3.1	3.1	33.62	0.0080135	1.9091	76128000	5	1.0000001	1	0	0	1.0000001	1	0	0	1.0000001	1	0	0	1	1	NaN	0	1.0000001	1	0	0	1.0000001	1	0	0	1	1	NaN	0	1.0000001	1	0	0	1	1	NaN	0	1	0.999752641392169	NaN	0	A6NDU8	A6NDU8	UPF0600 protein C5orf51	C5orf51
28.7475	28.76954	28.54668	28.54004	28.61989	28.68626	28.66601	28.63083	28.56525	28.82569	28.55483	28.70055	28.41131	28.73156	28.59474	28.616	28.61105	28.59171	28.48627	28.61414												3	2	2	6.9	3.6	3.6	34.803	0	8.4556	8719200000	89	0.997661890872988	1	-0.000195980072021484	-0.0030544985142832	0.909055808510658	0.92368992248062	0.0106382369995117	0.119136748175252	0.517277423045417	0.4929111725227	-0.0625395774841309	-0.68778921625927	0.319470140886555	0.229200324412003	-0.0751490592956543	-1.08527100862187	0.874637779637772	0.949556869565217	0.0108342170715332	0.164634942402131	0.394649215194527	0.518967479674797	-0.0623435974121094	-0.916706006720552	0.0692985355345867	0.0871878787878788	-0.0749530792236328	-2.20837132266619	0.457132907560479	0.80660212514758	-0.0731778144836426	-0.794568735432186	0.271016032536032	0.383838218053927	-0.085787296295166	-1.21215162101098	0.868226355593412	0.935364074328975	-0.0126094818115234	-0.173151020369296	A6NHQ2	A6NHQ2	rRNA/tRNA 2-O-methyltransferase fibrillarin-like protein 1	FBLL1
26.03875	25.75995	25.92495	25.80272	25.69445	25.78137	25.96374	25.72276	25.53163	25.62973	25.91317	25.59983	25.87804	25.76532	25.50103	25.70057	25.36052	25.51584	25.93303	25.69285												11	11	11	8.4	8.4	8.4	226.37	0	26.655	1225200000	73	0.337450598843599	0.637274604267034	-0.0910153388977051	-1.04226912042818	0.0889427000151087	0.144251968503937	-0.213002681732178	-2.02773228948153	0.142962560529902	0.143742840444185	-0.170351505279541	-1.68503199003243	0.113226238429002	0.0796778242677824	-0.25603199005127	-1.85358412793664	0.28346845093811	0.578850439882698	-0.121987342834473	-1.17780918004315	0.455916154487123	0.562064576509125	-0.0793361663818359	-0.796826940516057	0.273782906395786	0.271962013295347	-0.165016651153564	-1.20440510292342	0.72442697487725	0.913556375563756	0.0426511764526367	0.369525754793556	0.782366409328077	0.815544034090909	-0.0430293083190918	-0.288918269410783	0.579140763347185	0.784092727272727	-0.0856804847717285	-0.586151093035529	A6NHR9	A6NHR9	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	SMCHD1
NaN	NaN	NaN	NaN	NaN	24.74791	NaN	NaN	NaN	24.18888	NaN	NaN	NaN	24.12502	NaN	23.62945	NaN	NaN	24.16982	NaN												18	3	1	13.1	2.7	0.7	197.48	0	5.7858	254370000	21	1	1	NaN	0	1	1	NaN	0	1	1	NaN	0	1	1	NaN	0	1	1	-0.559030532836914	0	1	1	-0.870672225952148	0	1	1	-0.578090667724609	0	1	1	-0.311641693115234	0	1	1	-0.0190601348876953	0	1	0.999442062752408	0.292581558227539	0	A6NKT7;Q7Z3J3;O14715;P0DJD0;P0DJD1	A6NKT7;Q7Z3J3;O14715;P0DJD0;P0DJD1	RanBP2-like and GRIP domain-containing protein 3;RanBP2-like and GRIP domain-containing protein 4;RANBP2-like and GRIP domain-containing protein 8;RANBP2-like and GRIP domain-containing protein 1;RANBP2-like and GRIP domain-containing protein 2	RGPD3;RGPD4;RGPD8;RGPD1;RGPD2
25.10221	25.23623	25.22681	25.09394	24.94833	24.88479	24.54534	25.0192	24.99162	25.04739	25.13848	24.75908	24.9376	24.96737	24.6774	24.7543	24.93796	25.18139	24.85358	24.65431			+	+							d_a;e_a	2	2	2	16.8	16.8	16.8	13.171	0.00024851	3.6285	682200000	35	0.0303986949629564	0.190306976744186	-0.315384387969971	-2.81888509830877	0.0904721027709984	0.145624242424242	-0.180654525756836	-2.01542406265198	0.00621622788890944	0.0151793103448276	-0.33063268661499	-4.12000227346438	0.0674140288229105	0.0494614472123369	-0.257989883422852	-2.22840128037526	0.348662874746982	0.635220512820513	0.134729862213135	1.0163901181703	0.907918332753956	0.917134545454545	-0.0152482986450195	-0.120635236417461	0.717779721394622	0.668442434782609	0.0573945045471191	0.37894010648179	0.211346786482175	0.614686930091185	-0.149978160858154	-1.3989277566336	0.589851560697063	0.660177669111655	-0.0773353576660156	-0.569239727603316	0.596131552890573	0.794069642857143	0.0726428031921387	0.559407661773953	A6ZKI3;Q9BWD3;Q17RB0	A6ZKI3;Q9BWD3;Q17RB0	Protein FAM127A;Protein FAM127B;Protein FAM127C	FAM127A;FAM127B;FAM127C
NaN	25.04218	NaN	25.02741	24.90261	24.99624	25.23403	NaN	24.81519	NaN	25.00217	NaN	25.03288	24.72759	NaN	24.88386	24.73578	24.98346	NaN	NaN												2	2	2	4	4	4	125.09	0	20.014	531200000	25	0.945301097749981	0.972061251664447	0.00949668884277344	0.0745013653740482	0.310914034893956	0.380180482686254	-0.126114845275879	-1.34475244495471	0.270935040221408	0.265367915465898	-0.153351465861004	-1.34615626159346	0.293450759756353	0.206389460683409	-0.175175666809082	-1.41198600109442	0.419132688346043	0.679265765765766	-0.135611534118652	-0.934159340156875	0.285740075718833	0.425128571428571	-0.162848154703777	-1.23104552606128	0.325070701523219	0.319256653134867	-0.184672355651855	-1.17411751386281	0.851315107489411	0.953231319270647	-0.0272366205851249	-0.204130311622726	0.781817351485738	0.815469793887704	-0.0490608215332031	-0.316174143054305	0.891040909987761	0.951983717774763	-0.0218242009480782	-0.148951981524722	A8CG34;A6NF01;Q96HA1	A8CG34;A6NF01;Q96HA1	Nuclear envelope pore membrane protein POM 121C;Putative nuclear envelope pore membrane protein POM 121B;Nuclear envelope pore membrane protein POM 121	POM121C;POM121B;POM121
25.21345	25.55467	25.47908	25.2037	25.49244	25.45419	25.33535	25.42073	25.53694	25.36419	25.40853	25.24999	25.41848	25.46644	25.40028	25.23838	25.36329	25.73066	25.55479	25.31779												2	2	2	17.1	17.1	17.1	8.496	0	4.86	951850000	49	0.537776019303525	0.757446260525012	0.0629477500915527	0.653302643306259	0.809758984487306	0.82333851590106	0.0271892547607422	0.251582587889488	0.865831774819737	0.8429816700611	0.0181670188903809	0.176335365750025	0.362927972918075	0.268088853629512	0.12890625	0.984413530594082	0.618367800312991	0.801462440295267	-0.0357584953308105	-0.525062279842366	0.482061216864845	0.581281164695177	-0.0447807312011719	-0.749207593277989	0.536074388048824	0.502426554750095	0.0659584999084473	0.656132933734772	0.910841612982042	0.969772972972973	-0.00902223587036133	-0.116784790883005	0.398032316356761	0.502405896805897	0.101716995239258	0.909736272065771	0.340336321362274	0.63684888304862	0.110739231109619	1.03554290347233	P62308;A8MWD9	P62308;A8MWD9	Small nuclear ribonucleoprotein G;Putative small nuclear ribonucleoprotein G-like protein 15	SNRPG;SNRPGP15
NaN	NaN	24.38337	23.99878	23.65053	NaN	24.14507	24.06677	NaN	NaN	NaN	23.75624	24.44765	NaN	23.87079	NaN	23.89115	NaN	23.74396	24.28828												3	3	3	11.2	11.2	11.2	42.233	0	13.37	273470000	36	0.404034056102867	0.68126213592233	-0.23694896697998	-0.96896774658255	1	1	-0.434840202331543	0	0.935159291634593	0.929349206349206	-0.0318546295166016	-0.091891984167597	0.456663183344791	0.356301140684411	-0.216610908508301	-0.852341988127452	1	0.999756663530887	-0.197891235351563	0	0.533499369005892	0.624528236316247	0.205094337463379	0.701524612498243	0.931886414201829	0.911520206918849	0.0203380584716797	0.0909746370851121	1	1	0.402985572814941	0	1	1	0.218229293823242	0	0.582073755808949	0.785490942028986	-0.184756278991699	-0.614973020242148	A8MXV4	A8MXV4	Nucleoside diphosphate-linked moiety X motif 19, mitochondrial	NUDT19
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	22.28195	NaN	NaN	NaN												1	1	1	2.6	2.6	2.6	52.916	0.0035746	2.4533	28835000	9	1.0000001	1	0	0	1.0000001	1	0	0	1.0000001	1	0	0	1	1	NaN	0	1.0000001	1	0	0	1.0000001	1	0	0	1	1	NaN	0	1.0000001	1	0	0	1	1	NaN	0	1	0.999131677018634	NaN	0	P0CG08;B7ZAQ6	P0CG08;B7ZAQ6	Golgi pH regulator B;Golgi pH regulator A	GPR89B;GPR89A
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	24.11926	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN												3	3	3	10.8	10.8	10.8	49.994	0	4.0617	278870000	5	1.0000001	1	0	0	1	1	NaN	0	1.0000001	1	0	0	1.0000001	1	0	0	1	0.999443260188088	NaN	0	1.0000001	1	0	0	1.0000001	1	0	0	1	1	NaN	0	1	1	NaN	0	1.0000001	1	0	0	C4AMC7;Q6VEQ5;A8K0Z3;A8MWX3;Q9NQA3	C4AMC7;Q6VEQ5;A8K0Z3;A8MWX3	Putative WAS protein family homolog 3;WAS protein family homolog 2;WAS protein family homolog 1;Putative WAS protein family homolog 4	WASH3P;WASH2P;WASH1;WASH4P
25.51117	25.53656	25.50897	25.16265	25.30577	25.38205	25.33412	25.12778	25.37329	25.29817	25.2081	25.21401	25.56186	25.17554	25.0585	25.13489	25.32213	25.19479	25.32282	25.15935												5	5	5	51.5	51.5	51.5	10.92	0	13.185	872660000	25	0.224311173925544	0.537072824156306	-0.14240550994873	-1.35465865746644	0.159646434727123	0.221846153846154	-0.156445980072021	-1.60486181519851	0.218675605999044	0.217640495867769	-0.197140693664551	-1.37360919812374	0.118573114512455	0.0834291623578077	-0.180064678192139	-1.82028729727299	0.8430387414784	0.932379593292901	-0.014040470123291	-0.206755521326262	0.677578856322887	0.735546820809248	-0.0547351837158203	-0.436739977955702	0.609734801438491	0.568365764447696	-0.0376591682434082	-0.538312369543404	0.744012824611838	0.919988773055333	-0.0406947135925293	-0.341998668620496	0.69722189578025	0.748126601356443	-0.0236186981201172	-0.40830435439189	0.891655316392012	0.951840054218909	0.0170760154724121	0.142096262072636	C9JLW8	C9JLW8	Protein FAM195B	FAM195B
30.39907	30.66602	30.42422	30.49037	30.39509	30.51822	30.53584	30.48702	30.42172	30.44756	30.40487	30.35458	30.34022	30.4348	30.43351	30.42422	30.35142	30.44983	30.32324	30.3593												6	6	6	33.5	33.5	33.5	23.384	0	163.52	31763000000	320	0.877892746401778	0.936832101372756	-0.0108785629272461	-0.160316825933073	0.215085900239471	0.284621572212066	-0.087740421295166	-1.38591231659197	0.226425271042824	0.224183579806221	-0.0867366790771484	-1.34766044634547	0.110010874897992	0.0773157617290459	-0.123973846435547	-1.87436642004879	0.0827391380216422	0.337993846153846	-0.0768618583679199	-2.07996202261889	0.0978684753932438	0.210683253588517	-0.0758581161499023	-1.9587213687126	0.0347681151990468	0.0531241578440808	-0.113095283508301	-2.71728060603671	0.974442279242281	0.991631123919308	0.00100374221801758	0.033395706916215	0.323633427267469	0.43914020731042	-0.0362334251403809	-1.07514056733754	0.336343357657943	0.631778217821782	-0.0372371673583984	-1.04486234956752	Q13765;E9PAV3;Q9BZK3	Q13765;E9PAV3	Nascent polypeptide-associated complex subunit alpha;Nascent polypeptide-associated complex subunit alpha, muscle-specific form	NACA
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	25.11287	NaN	NaN												1	1	1	10.7	10.7	10.7	13.798	0.0035698	2.4376	617590000	0	1.0000001	1	0	0	1.0000001	1	0	0	1.0000001	1	0	0	1	1	NaN	0	1.0000001	1	0	0	1.0000001	1	0	0	1	1	NaN	0	1.0000001	1	0	0	1	1	NaN	0	1	0.998821484011177	NaN	0	E9PRG8	E9PRG8	Uncharacterized protein C11orf98	C11orf98
25.71994	25.96526	25.74807	25.87444	25.9365	25.85626	25.63331	25.63691	25.82304	25.91331	25.80985	25.59571	25.73898	25.8328	25.68054	25.4535	25.74299	25.79392	25.64763	25.62291												5	5	5	49.5	49.5	49.5	11.133	0	17.941	1173200000	98	0.547389301108018	0.757726786582402	-0.0611786842346191	-0.637418634055162	0.655106971014368	0.6998625	-0.041447639465332	-0.469769640299964	0.178588749882084	0.17856043956044	-0.150471210479736	-1.52300133997019	0.123182801286166	0.0861626598465473	-0.125063419342041	-1.79275080247804	0.853569295356384	0.937652880876635	0.0197310447692871	0.192675582362051	0.454307279132153	0.560712277413308	-0.0892925262451172	-0.799819494802855	0.490449892246303	0.46359748427673	-0.0638847351074219	-0.734309465263302	0.339369435778701	0.722454810495627	-0.109023571014404	-1.03779140698949	0.327025132216839	0.441605649103748	-0.083615779876709	-1.06696667522925	0.787424762188127	0.895413589364845	0.0254077911376953	0.281990578159737	L0R6Q1	L0R6Q1		SLC35A4
