Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides 11_pTa	Peptides 12_pT2+	Peptides 15_pT2+	Peptides 16_pTa	Peptides 17_pT2+	Peptides 19_pTa	Peptides 3_pTa	Peptides 9_pT2+	Razor + unique peptides 11_pTa	Razor + unique peptides 12_pT2+	Razor + unique peptides 15_pT2+	Razor + unique peptides 16_pTa	Razor + unique peptides 17_pT2+	Razor + unique peptides 19_pTa	Razor + unique peptides 3_pTa	Razor + unique peptides 9_pT2+	Unique peptides 11_pTa	Unique peptides 12_pT2+	Unique peptides 15_pT2+	Unique peptides 16_pTa	Unique peptides 17_pT2+	Unique peptides 19_pTa	Unique peptides 3_pTa	Unique peptides 9_pT2+	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Identification type 11_pTa	Identification type 12_pT2+	Identification type 15_pT2+	Identification type 16_pTa	Identification type 17_pT2+	Identification type 19_pTa	Identification type 3_pTa	Identification type 9_pT2+	Sequence coverage 11_pTa [%]	Sequence coverage 12_pT2+ [%]	Sequence coverage 15_pT2+ [%]	Sequence coverage 16_pTa [%]	Sequence coverage 17_pT2+ [%]	Sequence coverage 19_pTa [%]	Sequence coverage 3_pTa [%]	Sequence coverage 9_pT2+ [%]	Intensity	Intensity 11_pTa	Intensity 12_pT2+	Intensity 15_pT2+	Intensity 16_pTa	Intensity 17_pT2+	Intensity 19_pTa	Intensity 3_pTa	Intensity 9_pT2+	LFQ intensity 11_pTa	LFQ intensity 12_pT2+	LFQ intensity 15_pT2+	LFQ intensity 16_pTa	LFQ intensity 17_pT2+	LFQ intensity 19_pTa	LFQ intensity 3_pTa	LFQ intensity 9_pT2+	MS/MS count 11_pTa	MS/MS count 12_pT2+	MS/MS count 15_pT2+	MS/MS count 16_pTa	MS/MS count 17_pT2+	MS/MS count 19_pTa	MS/MS count 3_pTa	MS/MS count 9_pT2+	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
REV__sp|Q5SSJ5|HP1B3_HUMANHeterochromatinprotein1-bindingprotein3OS=HomosapiensGN=HP1BP3PE=1SV=1	REV__sp|Q5SSJ5|HP1B3_HUMANHeterochromatinprotein1-bindingprotein3OS=HomosapiensGN=HP1BP3PE=1SV=1	1	1	1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	61.206	553	553	0.0044131	2.6603	By matching	By MS/MS	By matching	By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	0	0	0	0	0	0	0	0	41112000	248200	9722000	182210	211610	7401700	2317800	21029000	0	0	0	0	0	0	0	10514000	0	0	6	0	0	5	3	6	2	22		+		10	614	True	625	3179;3180;3181;3182;3183;3184;3185;3186;3187;3188;3189;3190	7319;7320;7321;7322;7323;7324;7325;7326;7327;7328;7329;7330;7331;7332;7333;7334;7335;7336;7337;7338;7339;7340	7321		
REV__sp|Q86UK5|LBN_HUMANLimbinOS=HomosapiensGN=EVC2PE=1SV=1	REV__sp|Q86UK5|LBN_HUMANLimbinOS=HomosapiensGN=EVC2PE=1SV=1	1	1	1		1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	0	0	0	147.95	1308	1308	0.005231	2.5557	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS		By MS/MS	By MS/MS	0	0	0	0	0	0	0	0	33211000	3226100	4335100	2996900	4209400	3442800	0	9479600	5521300	0	0	0	0	0	0	0	2299700	2	4	4	3	2	0	4	5	24		+		11	9410	True	9571	48854;48855;48856;48857;48858;48859;48860;48861;48862;48863;48864;48865;48866	116299;116300;116301;116302;116303;116304;116305;116306;116307;116308;116309;116310;116311;116312;116313;116314;116315;116316;116317;116318;116319;116320;116321;116322	116300		
REV__sp|Q8IYJ2|CJ067_HUMANUncharacterizedproteinC10orf67OS=HomosapiensGN=C10orf67PE=2SV=2	REV__sp|Q8IYJ2|CJ067_HUMANUncharacterizedproteinC10orf67OS=HomosapiensGN=C10orf67PE=2SV=2	1	1	1		1	1	1	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	21.594	185	185	0.0093857	2.3742	By matching							By MS/MS	0	0	0	0	0	0	0	0	6897500	511960	0	0	0	0	0	0	6385500	0	0	0	0	0	0	0	2659600	0	0	0	0	0	0	0	4	4		+		12	7704	True	7833	39587;39588;39589	92583;92584;92585;92586	92585		
REV__sp|Q8NCM8|DYHC2_HUMANCytoplasmicdynein2heavychain1OS=HomosapiensGN=DYNC2H1PE=1SV=4	REV__sp|Q8NCM8|DYHC2_HUMANCytoplasmicdynein2heavychain1OS=HomosapiensGN=DYNC2H1PE=1SV=4	3	3	3		1	3	3	3	1	2	0	0	2	0	1	1	1	2	0	0	2	0	1	1	1	2	0	0	2	0	1	1	0	0	0	492.62	4307	4307	0.00052411	4.9732	By matching	By MS/MS			By MS/MS		By matching	By MS/MS	0	0	0	0	0	0	0	0	7402500	412580	3598500	0	0	2244200	0	252790	894440	0	3518900	0	0	0	0	0	0	0	3	0	0	2	0	0	1	6		+		13	2620;8004;10282	True;True;True	2662;8141;10450	13164;41042;41043;41044;41045;41046;53166;53167;53168;53169	29504;29505;96213;96214;96215;125463	29504;96214;125463		
REV__sp|Q8TBP0|TBC16_HUMANTBC1domainfamilymember16OS=HomosapiensGN=TBC1D16PE=2SV=1	REV__sp|Q8TBP0|TBC16_HUMANTBC1domainfamilymember16OS=HomosapiensGN=TBC1D16PE=2SV=1	1	1	1		1	1	1	1	0	1	1	0	0	0	0	1	0	1	1	0	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0	86.371	767	767	0.0040107	2.765		By MS/MS	By MS/MS					By MS/MS	0	0	0	0	0	0	0	0	10437000	0	6739500	0	0	0	0	0	3697800	0	0	0	0	0	0	0	1540200	0	3	1	0	0	0	0	2	6		+		14	2052	True	2088	10341;10342;10343;10344	23719;23720;23721;23722;23723;23724	23721		
REV__sp|Q8TD57|DYH3_HUMANDyneinheavychain3,axonemalOS=HomosapiensGN=DNAH3PE=2SV=1	REV__sp|Q8TD57|DYH3_HUMANDyneinheavychain3,axonemalOS=HomosapiensGN=DNAH3PE=2SV=1	1	1	1		1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	0	0	0	470.77	4116	4116	0.0073657	2.492	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By matching		By MS/MS	0	0	0	0	0	0	0	0	14814000	1629600	2453800	2355200	2560300	3556700	197730	0	2060800	0	0	0	0	0	0	0	858350	1	1	1	1	2	0	0	1	7		+		15	12119	True	12349	62628;62629;62630;62631;62632;62633;62634;62635;62636;62637;62638;62639;62640;62641	148143;148144;148145;148146;148147;148148;148149	148149		
REV__sp|Q8WTW3|COG1_HUMANConservedoligomericGolgicomplexsubunit1OS=HomosapiensGN=COG1PE=1SV=1	REV__sp|Q8WTW3|COG1_HUMANConservedoligomericGolgicomplexsubunit1OS=HomosapiensGN=COG1PE=1SV=1	1	1	1		1	1	1	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	108.98	980	980	1	-2		By MS/MS					By matching		0	0	0	0	0	0	0	0	7943800	0	7673700	0	0	0	0	270090	0	0	0	0	0	0	0	270090	0	0	5	0	0	0	0	0	0	5	+	+		16	9081	True	9235	47094;47095;47096	112450;112451;112452;112453;112454	112450	1	367
REV__sp|Q92620|PRP16_HUMANPre-mRNA-splicingfactorATP-dependentRNAhelicasePRP16OS=HomosapiensGN=DHX38PE=1SV=2	REV__sp|Q92620|PRP16_HUMANPre-mRNA-splicingfactorATP-dependentRNAhelicasePRP16OS=HomosapiensGN=DHX38PE=1SV=2	1	1	1		1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	0	0	0	140.5	1227	1227	0.0022989	3.0712	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS		By MS/MS	By MS/MS	0	0	0	0	0	0	0	0	60386000	9835700	4922200	8784800	8069500	10260000	0	14638000	3875400	0	0	0	0	0	0	0	1614100	3	4	5	5	3	0	5	2	27		+		17	18493	True	18842	95383;95384;95385;95386;95387;95388;95389;95390;95391;95392;95393;95394	228131;228132;228133;228134;228135;228136;228137;228138;228139;228140;228141;228142;228143;228144;228145;228146;228147;228148;228149;228150;228151;228152;228153;228154;228155;228156;228157	228139		
REV__sp|Q969T3|SNX21_HUMANSortingnexin-21OS=HomosapiensGN=SNX21PE=2SV=1	REV__sp|Q969T3|SNX21_HUMANSortingnexin-21OS=HomosapiensGN=SNX21PE=2SV=1	2	2	2		1	2	2	2	1	0	0	1	0	1	0	1	1	0	0	1	0	1	0	1	1	0	0	1	0	1	0	1	0	0	0	41.365	373	373	0.0018709	3.2996	By MS/MS			By MS/MS		By MS/MS		By MS/MS	0	0	0	0	0	0	0	0	105590000	47459000	0	0	18623000	0	8254700	0	31252000	0	0	0	0	0	0	0	13017000	1	0	0	1	0	6	0	8	16		+		18	3050;9372	True;True	3106;9533	15872;15873;15874;48688;48689;48690;48691	36160;36161;115935;115936;115937;115938;115939;115940;115941;115942;115943;115944;115945;115946;115947;115948	36160;115938		
REV__sp|Q96DT5|DYH11_HUMANDyneinheavychain11,axonemalOS=HomosapiensGN=DNAH11PE=1SV=4	REV__sp|Q96DT5|DYH11_HUMANDyneinheavychain11,axonemalOS=HomosapiensGN=DNAH11PE=1SV=4	3	3	3		1	3	3	3	1	0	1	2	0	0	1	1	1	0	1	2	0	0	1	1	1	0	1	2	0	0	1	1	0	0	0	520.36	4516	4516	0.0010309	4.7556	By MS/MS		By matching	By MS/MS			By MS/MS	By MS/MS	0	0	0	0	0	0	0	0	22747000	4457800	0	709940	6043500	0	0	740610	10795000	0	0	0	3801300	0	0	0	0	1	0	0	3	0	0	0	2	6		+		19	9697;10233;10729	True;True;True	9861;10401;10911	50252;50253;50254;52925;55256;55257;55258	119341;119342;119343;119344;124882;130185;130186	119341;124882;130186		
REV__sp|Q9H1K0|RBNS5_HUMANRabenosyn-5OS=HomosapiensGN=RBSNPE=1SV=2	REV__sp|Q9H1K0|RBNS5_HUMANRabenosyn-5OS=HomosapiensGN=RBSNPE=1SV=2	1	1	1		1	1	1	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	88.869	784	784	0.008569	2.4163		By MS/MS					By MS/MS		0	0	0	0	0	0	0	0	113430000	0	31202000	0	0	0	0	82228000	0	0	0	0	0	0	0	41114000	0	0	1	0	0	0	0	2	0	3		+		20	17690	True	18030	91392;91393;91394	218986;218987;218988	218987		
REV__sp|Q9HAV4|XPO5_HUMANExportin-5OS=HomosapiensGN=XPO5PE=1SV=1	REV__sp|Q9HAV4|XPO5_HUMANExportin-5OS=HomosapiensGN=XPO5PE=1SV=1	1	1	1		1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	0	0	0	136.31	1204	1204	0.0089782	2.4035	By MS/MS	By MS/MS	By MS/MS	By matching		By MS/MS	By MS/MS	By MS/MS	0	0	0	0	0	0	0	0	20686000	5735300	901370	2126100	2030900	0	456890	3976900	5458500	0	0	0	0	0	0	0	2273500	1	3	3	0	0	2	3	2	14		+		21	15356	True	15652	78637;78638;78639;78640;78641;78642;78643;78644;78645;78646	184006;184007;184008;184009;184010;184011;184012;184013;184014;184015;184016;184017;184018;184019	184016		
REV__sp|Q9UKK3|PARP4_HUMANPoly[ADP-ribose]polymerase4OS=HomosapiensGN=PARP4PE=1SV=3	REV__sp|Q9UKK3|PARP4_HUMANPoly[ADP-ribose]polymerase4OS=HomosapiensGN=PARP4PE=1SV=3	2	2	2		1	2	2	2	0	0	0	1	1	0	1	0	0	0	0	1	1	0	1	0	0	0	0	1	1	0	1	0	0	0	0	192.59	1724	1724	0.0031306	2.83				By MS/MS	By MS/MS		By matching		0	0	0	0	0	0	0	0	17971000	0	0	0	13056000	4372400	0	542160	0	0	0	0	10430000	0	0	0	0	0	0	0	1	2	0	0	0	3		+		22	194;11071	True;True	197;11257	1046;1047;1048;57011	2512;2513;134178	2512;134178		
REV__sp|Q9ULW0|TPX2_HUMANTargetingproteinforXklp2OS=HomosapiensGN=TPX2PE=1SV=2	REV__sp|Q9ULW0|TPX2_HUMANTargetingproteinforXklp2OS=HomosapiensGN=TPX2PE=1SV=2	1	1	1		1	1	1	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	85.652	747	747	0.005662	2.5485		By matching					By MS/MS		0	0	0	0	0	0	0	0	24508000	0	646040	0	0	0	0	23862000	0	0	0	0	0	0	0	11931000	0	0	0	0	0	0	0	4	0	4		+		23	13104	True	13348	67457;67458;67459	158518;158519;158520;158521	158521		
REV__sp|Q9Y250|LZTS1_HUMANLeucinezipperputativetumorsuppressor1OS=HomosapiensGN=LZTS1PE=1SV=3	REV__sp|Q9Y250|LZTS1_HUMANLeucinezipperputativetumorsuppressor1OS=HomosapiensGN=LZTS1PE=1SV=3	1	1	1		1	1	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	66.612	596	596	0.0065076	2.5002							By MS/MS	By MS/MS	0	0	0	0	0	0	0	0	15847000	0	0	0	0	0	0	4051400	11796000	0	0	0	0	0	0	0	9826200	0	0	0	0	0	0	3	1	4		+		24	844	True	861	4335;4336	10291;10292;10293;10294	10291		
REV__sp|Q9Y2D8|ADIP_HUMANAfadin-andalpha-actinin-bindingproteinOS=HomosapiensGN=SSX2IPPE=1SV=3	REV__sp|Q9Y2D8|ADIP_HUMANAfadin-andalpha-actinin-bindingproteinOS=HomosapiensGN=SSX2IPPE=1SV=3	1	1	1		1	1	1	1	1	0	0	1	1	0	1	0	1	0	0	1	1	0	1	0	1	0	0	1	1	0	1	0	0	0	0	71.235	614	614	1	-2	By matching			By MS/MS	By matching		By MS/MS		0	0	0	0	0	0	0	0	11111000	1803200	0	0	1370600	1097600	0	6839300	0	0	0	0	0	0	0	3419700	0	0	0	0	1	0	0	2	0	3	+	+		25	17064	True	17394	88138;88139;88140;88141;88142	210379;210380;210381	210379	2	343
sp|A0AVT1|UBA6_HUMANUbiquitin-likemodifier-activatingenzyme6OS=HomosapiensGN=UBA6PE=1SV=1	sp|A0AVT1|UBA6_HUMANUbiquitin-likemodifier-activatingenzyme6OS=HomosapiensGN=UBA6PE=1SV=1	11	11	11		1	11	11	11	7	7	5	8	4	1	5	1	7	7	5	8	4	1	5	1	7	7	5	8	4	1	5	1	13	13	13	117.97	1052	1052	0	26.288	By MS/MS	By MS/MS	By matching	By MS/MS	By MS/MS	By MS/MS	By matching	By matching	7.7	8.4	5.6	9.2	4.6	1	5.6	1.2	28376000	6734800	4881000	1902900	9785700	2198600	251640	2240000	381700	3270700	4413100	2885400	8689500	3060900	0	2679200	0	1	5	0	11	1	1	0	0	19				26	3327;5364;8043;9460;11826;11993;12674;12862;14063;16403;17655	True;True;True;True;True;True;True;True;True;True;True	3387;5467;8180;9623;12053;12223;12915;13106;14326;16715;17994	17210;17211;17212;17213;17214;17215;27792;27793;27794;27795;41229;49104;49105;49106;49107;61103;61104;61105;61989;61990;61991;61992;65345;65346;65347;65348;66205;66206;71983;84335;84336;84337;91191;91192;91193;91194;91195;91196	38819;38820;38821;38822;38823;38824;63938;96592;116803;116804;145012;146766;146767;146768;154009;154010;155596;169017;199886;199887;199888;218436	38821;63938;96592;116804;145012;146767;154010;155596;169017;199887;218436		
sp|A1L0T0|ILVBL_HUMANAcetolactatesynthase-likeproteinOS=HomosapiensGN=ILVBLPE=1SV=2	sp|A1L0T0|ILVBL_HUMANAcetolactatesynthase-likeproteinOS=HomosapiensGN=ILVBLPE=1SV=2	3	3	3		1	3	3	3	1	2	1	1	1	0	1	1	1	2	1	1	1	0	1	1	1	2	1	1	1	0	1	1	8.1	8.1	8.1	67.867	632	632	0.0005176	4.8325	By matching	By MS/MS	By matching	By MS/MS	By matching		By MS/MS	By MS/MS	2.7	5.4	2.7	2.7	2.7	0	2.7	3.6	7673200	1811600	909020	345230	2000100	1350100	0	624680	632470	0	0	0	0	0	0	624680	0	0	0	0	1	0	0	2	1	4				27	140;6749;11880	True;True;True	143;6863;12108	694;695;696;697;698;34602;61385;61386	1569;1570;1571;80071;145581	1571;80071;145581		
